# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Full Version
# File: C:\Users\innovlab\workspace\EyeSat_CMOS_Image_Sensor\FPGA_Program\de2_cyclone2\altpll0\de2_cyclone2.csv
# Generated on: Tue Jun 07 13:34:10 2016

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
DRAM_CKE,Output,PIN_AA6,1,B1_N1,PIN_AA6,,,,
DRAM_CLK,Output,PIN_AA7,1,B1_N1,PIN_AA7,,,,
DRAM_CS_N,Output,PIN_AC3,1,B1_N1,PIN_AC3,,,,
DRAM_DQ[15],Bidir,PIN_AA5,1,B1_N1,PIN_AA5,,,,
DRAM_DQ[14],Bidir,PIN_AC1,1,B1_N1,PIN_AC1,,,,
DRAM_DQ[13],Bidir,PIN_AC2,1,B1_N1,PIN_AC2,,,,
DRAM_DQ[12],Bidir,PIN_AA3,1,B1_N1,PIN_AA3,,,,
DRAM_DQ[11],Bidir,PIN_AA4,1,B1_N1,PIN_AA4,,,,
DRAM_DQ[10],Bidir,PIN_AB1,1,B1_N1,PIN_AB1,,,,
DRAM_DQ[9],Bidir,PIN_AB2,1,B1_N1,PIN_AB2,,,,
DRAM_DQ[8],Bidir,PIN_W6,1,B1_N1,PIN_W6,,,,
DRAM_DQ[7],Bidir,PIN_V7,1,B1_N1,PIN_V7,,,,
DRAM_DQ[6],Bidir,PIN_T8,1,B1_N1,PIN_T8,,,,
DRAM_DQ[5],Bidir,PIN_R8,1,B1_N1,PIN_R8,,,,
DRAM_DQ[4],Bidir,PIN_Y4,1,B1_N1,PIN_Y4,,,,
DRAM_DQ[3],Bidir,PIN_Y3,1,B1_N1,PIN_Y3,,,,
DRAM_DQ[2],Bidir,PIN_AA1,1,B1_N1,PIN_AA1,,,,
DRAM_DQ[1],Bidir,PIN_AA2,1,B1_N1,PIN_AA2,,,,
DRAM_DQ[0],Bidir,PIN_V6,1,B1_N1,PIN_V6,,,,
DRAM_LDQM,Output,PIN_AD2,1,B1_N1,PIN_AD2,,,,
DRAM_RAS_N,Output,PIN_AB4,1,B1_N1,PIN_AB4,,,,
DRAM_UDQM,Output,PIN_Y5,1,B1_N1,PIN_Y5,,,,
DRAM_WE_N,Output,PIN_AD3,1,B1_N1,PIN_AD3,,,,
KEY[2],Input,,,,PIN_P1,,,,
KEY[1],Input,PAD_311,5,B5_N1,PIN_N23,,,,
KEY[0],Input,PIN_G26,5,B5_N0,PIN_G26,,,,
LVDS_CLK,Input,PIN_P25,6,B6_N0,PIN_P25,LVDS,,,LVDS_CLK(n)
OUT1,Input,PIN_R19,6,B6_N0,PIN_R19,LVDS,,,OUT1(n)
OUT9,Input,PIN_U20,6,B6_N0,PIN_U20,LVDS,,,OUT9(n)
OUTCTR,Input,PIN_U23,6,B6_N0,PIN_U23,LVDS,,,OUTCTR(n)
SPI_CLK,Output,PIN_E26,5,B5_N0,PIN_E26,,,,
SPI_EN,Output,PIN_F23,5,B5_N0,PIN_F23,,,,
SPI_IN,Output,PIN_F24,5,B5_N0,PIN_F24,,,,
SPI_OUT,Input,PIN_J20,5,B5_N0,PIN_J20,,,,
SYS_RES_N,Output,PIN_E25,5,B5_N0,PIN_E25,,,,
UART_RXD,Input,PIN_C25,5,B5_N0,PIN_C25,,,,
UART_TXD,Output,PIN_B25,5,B5_N0,PIN_B25,,,,
SW[0],Unknown,PAD_309,5,B5_N1,,,,,
SW[1],Unknown,PAD_308,5,B5_N1,,,,,
SW[2],Unknown,,,,,,,,
SW[3],Unknown,PIN_AE14,7,B7_N1,,,,,
SW[4],Unknown,PIN_AF14,7,B7_N1,,,,,
SW[5],Unknown,PIN_AD13,8,B8_N0,,,,,
SW[6],Unknown,PIN_AC13,8,B8_N0,,,,,
SW[7],Unknown,PIN_C13,3,B3_N0,,,,,
SW[8],Unknown,PIN_B13,4,B4_N1,,,,,
SW[9],Unknown,PIN_A13,4,B4_N1,,,,,
SW[10],Unknown,PIN_N1,2,B2_N1,,,,,
SW[11],Unknown,PIN_P1,1,B1_N0,,,,,
SW[12],Unknown,PIN_P2,1,B1_N0,,,,,
SW[13],Unknown,PIN_T7,1,B1_N0,,,,,
SW[14],Unknown,PIN_U3,1,B1_N0,,,,,
SW[15],Unknown,PIN_U4,1,B1_N0,,,,,
SW[16],Unknown,PIN_V1,1,B1_N0,,,,,
SW[17],Unknown,PIN_V2,1,B1_N0,,,,,
FL_ADDR[0],Unknown,PIN_AC18,7,B7_N0,,,,,
FL_ADDR[1],Unknown,PIN_AB18,7,B7_N0,,,,,
FL_ADDR[2],Unknown,PIN_AE19,7,B7_N1,,,,,
FL_ADDR[3],Unknown,PIN_AF19,7,B7_N1,,,,,
FL_ADDR[4],Unknown,PIN_AE18,7,B7_N1,,,,,
FL_ADDR[5],Unknown,PIN_AF18,7,B7_N1,,,,,
FL_ADDR[6],Unknown,PIN_Y16,7,B7_N1,,,,,
FL_ADDR[7],Unknown,PIN_AA16,7,B7_N1,,,,,
FL_ADDR[8],Unknown,PIN_AD17,7,B7_N1,,,,,
FL_ADDR[9],Unknown,PIN_AC17,7,B7_N1,,,,,
FL_ADDR[10],Unknown,PIN_AE17,7,B7_N1,,,,,
FL_ADDR[11],Unknown,PIN_AF17,7,B7_N1,,,,,
FL_ADDR[12],Unknown,PIN_W16,7,B7_N1,,,,,
FL_ADDR[13],Unknown,PIN_W15,7,B7_N1,,,,,
FL_ADDR[14],Unknown,PIN_AC16,7,B7_N1,,,,,
FL_ADDR[15],Unknown,PIN_AD16,7,B7_N1,,,,,
FL_ADDR[16],Unknown,PIN_AE16,7,B7_N1,,,,,
FL_ADDR[17],Unknown,PIN_AC15,7,B7_N1,,,,,
FL_ADDR[18],Unknown,PIN_AB15,7,B7_N1,,,,,
FL_ADDR[19],Unknown,PIN_AA15,7,B7_N1,,,,,
FL_ADDR[20],Unknown,PIN_Y15,7,B7_N1,,,,,
FL_ADDR[21],Unknown,PIN_Y14,7,B7_N1,,,,,
FL_CE_N,Unknown,PIN_V17,7,B7_N0,,,,,
FL_OE_N,Unknown,PIN_W17,7,B7_N0,,,,,
FL_DQ[0],Unknown,PIN_AD19,7,B7_N0,,,,,
FL_DQ[1],Unknown,PIN_AC19,7,B7_N0,,,,,
FL_DQ[2],Unknown,PIN_AF20,7,B7_N0,,,,,
FL_DQ[3],Unknown,PIN_AE20,7,B7_N0,,,,,
FL_DQ[4],Unknown,PIN_AB20,7,B7_N0,,,,,
FL_DQ[5],Unknown,PIN_AC20,7,B7_N0,,,,,
FL_DQ[6],Unknown,PIN_AF21,7,B7_N0,,,,,
FL_DQ[7],Unknown,PIN_AE21,7,B7_N0,,,,,
FL_RST_N,Unknown,PIN_AA18,7,B7_N0,,,,,
FL_WE_N,Unknown,PIN_AA17,7,B7_N0,,,,,
HEX0[0],Unknown,PIN_AF10,8,B8_N0,,,,,
HEX0[1],Unknown,PIN_AB12,8,B8_N0,,,,,
HEX0[2],Unknown,PIN_AC12,8,B8_N0,,,,,
HEX0[3],Unknown,PIN_AD11,8,B8_N0,,,,,
HEX0[4],Unknown,PIN_AE11,8,B8_N0,,,,,
HEX0[5],Unknown,PIN_V14,8,B8_N0,,,,,
HEX0[6],Unknown,PIN_V13,8,B8_N0,,,,,
HEX1[0],Unknown,PIN_V20,6,B6_N1,,,,,
HEX1[1],Unknown,PIN_V21,6,B6_N1,,,,,
HEX1[2],Unknown,PIN_W21,6,B6_N1,,,,,
HEX1[3],Unknown,PIN_Y22,6,B6_N1,,,,,
HEX1[4],Unknown,PIN_AA24,6,B6_N1,,,,,
HEX1[5],Unknown,PIN_AA23,6,B6_N1,,,,,
HEX1[6],Unknown,PIN_AB24,6,B6_N1,,,,,
HEX2[0],Unknown,PIN_AB23,6,B6_N1,,,,,
HEX2[1],Unknown,PIN_V22,6,B6_N1,,,,,
HEX2[2],Unknown,PIN_AC25,6,B6_N1,,,,,
HEX2[3],Unknown,PIN_AC26,6,B6_N1,,,,,
HEX2[4],Unknown,PIN_AB26,6,B6_N1,,,,,
HEX2[5],Unknown,PIN_AB25,6,B6_N1,,,,,
HEX2[6],Unknown,PIN_Y24,6,B6_N1,,,,,
HEX3[0],Unknown,PIN_Y23,6,B6_N1,,,,,
HEX3[1],Unknown,PIN_AA25,6,B6_N1,,,,,
HEX3[2],Unknown,PIN_AA26,6,B6_N1,,,,,
HEX3[3],Unknown,PIN_Y26,6,B6_N1,,,,,
HEX3[4],Unknown,PIN_Y25,6,B6_N1,,,,,
HEX3[5],Unknown,PIN_U22,6,B6_N1,,,,,
HEX3[6],Unknown,PIN_W24,6,B6_N1,,,,,
HEX4[0],Unknown,PIN_U9,1,B1_N0,,,,,
HEX4[1],Unknown,PIN_U1,1,B1_N0,,,,,
HEX4[2],Unknown,PIN_U2,1,B1_N0,,,,,
HEX4[3],Unknown,PIN_T4,1,B1_N0,,,,,
HEX4[4],Unknown,PIN_R7,1,B1_N0,,,,,
HEX4[5],Unknown,PIN_R6,1,B1_N0,,,,,
HEX4[6],Unknown,PIN_T3,1,B1_N0,,,,,
HEX5[0],Unknown,PIN_T2,1,B1_N0,,,,,
HEX5[1],Unknown,PIN_P6,1,B1_N0,,,,,
HEX5[2],Unknown,PIN_P7,1,B1_N0,,,,,
HEX5[3],Unknown,PIN_T9,1,B1_N0,,,,,
HEX5[4],Unknown,PIN_R5,1,B1_N0,,,,,
HEX5[5],Unknown,PIN_R4,1,B1_N0,,,,,
HEX5[6],Unknown,PIN_R3,1,B1_N0,,,,,
HEX6[0],Unknown,PIN_R2,1,B1_N0,,,,,
HEX6[1],Unknown,PIN_P4,1,B1_N0,,,,,
HEX6[2],Unknown,PIN_P3,1,B1_N0,,,,,
HEX6[3],Unknown,PIN_M2,2,B2_N1,,,,,
HEX6[4],Unknown,PIN_M3,2,B2_N1,,,,,
HEX6[5],Unknown,PIN_M5,2,B2_N1,,,,,
HEX6[6],Unknown,PIN_M4,2,B2_N1,,,,,
HEX7[0],Unknown,PIN_L3,2,B2_N1,,,,,
HEX7[1],Unknown,PIN_L2,2,B2_N1,,,,,
HEX7[2],Unknown,PIN_L9,2,B2_N1,,,,,
HEX7[3],Unknown,PIN_L6,2,B2_N1,,,,,
HEX7[4],Unknown,PIN_L7,2,B2_N1,,,,,
HEX7[5],Unknown,PIN_P9,2,B2_N1,,,,,
HEX7[6],Unknown,PIN_N9,2,B2_N1,,,,,
KEY[3],Unknown,PIN_W26,6,B6_N1,,,,,
LEDR[0],Unknown,PIN_AE23,7,B7_N0,,,,,
LEDR[1],Unknown,PIN_AF23,7,B7_N0,,,,,
LEDR[2],Unknown,PIN_AB21,7,B7_N0,,,,,
LEDR[3],Unknown,PIN_AC22,7,B7_N0,,,,,
LEDR[4],Unknown,PIN_AD22,7,B7_N0,,,,,
LEDR[5],Unknown,PIN_AD23,7,B7_N0,,,,,
LEDR[6],Unknown,PIN_AD21,7,B7_N0,,,,,
LEDR[7],Unknown,PIN_AC21,7,B7_N0,,,,,
LEDR[8],Unknown,PIN_AA14,7,B7_N1,,,,,
LEDR[9],Unknown,PIN_Y13,7,B7_N1,,,,,
LEDR[10],Unknown,PIN_AA13,7,B7_N1,,,,,
LEDR[11],Unknown,PIN_AC14,7,B7_N1,,,,,
LEDR[12],Unknown,PIN_AD15,7,B7_N1,,,,,
LEDR[13],Unknown,PIN_AE15,7,B7_N1,,,,,
LEDR[14],Unknown,PIN_AF13,8,B8_N0,,,,,
LEDR[15],Unknown,PIN_AE13,8,B8_N0,,,,,
LEDR[16],Unknown,PIN_AE12,8,B8_N0,,,,,
LEDR[17],Unknown,PIN_AD12,8,B8_N0,,,,,
LEDG[0],Unknown,PIN_AE22,7,B7_N0,,,,,
LEDG[1],Unknown,PIN_AF22,7,B7_N0,,,,,
LEDG[2],Unknown,PIN_W19,7,B7_N0,,,,,
LEDG[3],Unknown,PIN_V18,7,B7_N0,,,,,
LEDG[4],Unknown,PIN_U18,7,B7_N0,,,,,
LEDG[5],Unknown,PIN_U17,7,B7_N0,,,,,
LEDG[6],Unknown,PIN_AA20,7,B7_N0,,,,,
LEDG[7],Unknown,PIN_Y18,7,B7_N0,,,,,
LEDG[8],Unknown,PIN_Y12,8,B8_N0,,,,,
CLOCK_27,Unknown,PIN_D13,3,B3_N0,,,,,
EXT_CLOCK,Unknown,,,,,,,,
PS2_CLK,Unknown,PIN_D26,5,B5_N0,,,,,
PS2_DAT,Unknown,PIN_C24,5,B5_N0,,,,,
LCD_RW,Unknown,PIN_K4,2,B2_N1,,,,,
LCD_EN,Unknown,PIN_K3,2,B2_N1,,,,,
LCD_RS,Unknown,PIN_K1,2,B2_N1,,,,,
LCD_DATA[0],Unknown,PIN_J1,2,B2_N1,,,,,
LCD_DATA[1],Unknown,PIN_J2,2,B2_N1,,,,,
LCD_DATA[2],Unknown,PIN_H1,2,B2_N1,,,,,
LCD_DATA[3],Unknown,PIN_H2,2,B2_N1,,,,,
LCD_DATA[4],Unknown,PIN_J4,2,B2_N1,,,,,
LCD_DATA[5],Unknown,PIN_J3,2,B2_N1,,,,,
LCD_DATA[6],Unknown,PIN_H4,2,B2_N1,,,,,
LCD_DATA[7],Unknown,PIN_H3,2,B2_N1,,,,,
LCD_ON,Unknown,PIN_L4,2,B2_N1,,,,,
LCD_BLON,Unknown,PIN_K2,2,B2_N1,,,,,
SRAM_ADDR[0],Unknown,PIN_AE4,8,B8_N1,,,,,
SRAM_ADDR[1],Unknown,PIN_AF4,8,B8_N1,,,,,
SRAM_ADDR[2],Unknown,PIN_AC5,8,B8_N1,,,,,
SRAM_ADDR[3],Unknown,PIN_AC6,8,B8_N1,,,,,
SRAM_ADDR[4],Unknown,PIN_AD4,8,B8_N1,,,,,
SRAM_ADDR[5],Unknown,PIN_AD5,8,B8_N1,,,,,
SRAM_ADDR[6],Unknown,PIN_AE5,8,B8_N1,,,,,
SRAM_ADDR[7],Unknown,PIN_AF5,8,B8_N1,,,,,
SRAM_ADDR[8],Unknown,PIN_AD6,8,B8_N1,,,,,
SRAM_ADDR[9],Unknown,PIN_AD7,8,B8_N1,,,,,
SRAM_ADDR[10],Unknown,PIN_V10,8,B8_N1,,,,,
SRAM_ADDR[11],Unknown,PIN_V9,8,B8_N1,,,,,
SRAM_ADDR[12],Unknown,PIN_AC7,8,B8_N1,,,,,
SRAM_ADDR[13],Unknown,PIN_W8,8,B8_N1,,,,,
SRAM_ADDR[14],Unknown,PIN_W10,8,B8_N1,,,,,
SRAM_ADDR[15],Unknown,PIN_Y10,8,B8_N1,,,,,
SRAM_ADDR[16],Unknown,PIN_AB8,8,B8_N1,,,,,
SRAM_ADDR[17],Unknown,PIN_AC8,8,B8_N1,,,,,
SRAM_DQ[0],Unknown,PIN_AD8,8,B8_N1,,,,,
SRAM_DQ[1],Unknown,PIN_AE6,8,B8_N1,,,,,
SRAM_DQ[2],Unknown,PIN_AF6,8,B8_N1,,,,,
SRAM_DQ[3],Unknown,PIN_AA9,8,B8_N1,,,,,
SRAM_DQ[4],Unknown,PIN_AA10,8,B8_N1,,,,,
SRAM_DQ[5],Unknown,PIN_AB10,8,B8_N1,,,,,
SRAM_DQ[6],Unknown,PIN_AA11,8,B8_N1,,,,,
SRAM_DQ[7],Unknown,PIN_Y11,8,B8_N1,,,,,
SRAM_DQ[8],Unknown,PIN_AE7,8,B8_N1,,,,,
SRAM_DQ[9],Unknown,PIN_AF7,8,B8_N1,,,,,
SRAM_DQ[10],Unknown,PIN_AE8,8,B8_N0,,,,,
SRAM_DQ[11],Unknown,PIN_AF8,8,B8_N0,,,,,
SRAM_DQ[12],Unknown,PIN_W11,8,B8_N0,,,,,
SRAM_DQ[13],Unknown,PIN_W12,8,B8_N0,,,,,
SRAM_DQ[14],Unknown,PIN_AC9,8,B8_N0,,,,,
SRAM_DQ[15],Unknown,PIN_AC10,8,B8_N0,,,,,
SRAM_WE_N,Unknown,PIN_AE10,8,B8_N0,,,,,
SRAM_OE_N,Unknown,PIN_AD10,8,B8_N0,,,,,
SRAM_UB_N,Unknown,PIN_AF9,8,B8_N0,,,,,
SRAM_LB_N,Unknown,PIN_AE9,8,B8_N0,,,,,
SRAM_CE_N,Unknown,PIN_AC11,8,B8_N0,,,,,
OTG_ADDR[0],Unknown,PIN_K7,2,B2_N0,,,,,
OTG_ADDR[1],Unknown,PIN_F2,2,B2_N0,,,,,
OTG_CS_N,Unknown,PIN_F1,2,B2_N0,,,,,
OTG_RD_N,Unknown,PIN_G2,2,B2_N0,,,,,
OTG_WR_N,Unknown,PIN_G1,2,B2_N0,,,,,
OTG_RST_N,Unknown,PIN_G5,2,B2_N0,,,,,
OTG_DATA[0],Unknown,PIN_F4,2,B2_N0,,,,,
OTG_DATA[1],Unknown,PIN_D2,2,B2_N0,,,,,
OTG_DATA[2],Unknown,PIN_D1,2,B2_N0,,,,,
OTG_DATA[3],Unknown,PIN_F7,2,B2_N0,,,,,
OTG_DATA[4],Unknown,PIN_J5,2,B2_N0,,,,,
OTG_DATA[5],Unknown,PIN_J8,2,B2_N0,,,,,
OTG_DATA[6],Unknown,PIN_J7,2,B2_N0,,,,,
OTG_DATA[7],Unknown,PIN_H6,2,B2_N0,,,,,
OTG_DATA[8],Unknown,PIN_E2,2,B2_N0,,,,,
OTG_DATA[9],Unknown,PIN_E1,2,B2_N0,,,,,
OTG_DATA[10],Unknown,PIN_K6,2,B2_N0,,,,,
OTG_DATA[11],Unknown,PIN_K5,2,B2_N0,,,,,
OTG_DATA[12],Unknown,PIN_G4,2,B2_N0,,,,,
OTG_DATA[13],Unknown,PIN_G3,2,B2_N0,,,,,
OTG_DATA[14],Unknown,PIN_J6,2,B2_N0,,,,,
OTG_DATA[15],Unknown,PIN_K8,2,B2_N0,,,,,
OTG_INT0,Unknown,PIN_B3,2,B2_N0,,,,,
OTG_INT1,Unknown,PIN_C3,2,B2_N0,,,,,
OTG_DACK0_N,Unknown,PIN_C2,2,B2_N0,,,,,
OTG_DACK1_N,Unknown,PIN_B2,2,B2_N0,,,,,
OTG_DREQ0,Unknown,PIN_F6,2,B2_N0,,,,,
OTG_DREQ1,Unknown,PIN_E5,2,B2_N0,,,,,
OTG_FSPEED,Unknown,PIN_F3,2,B2_N0,,,,,
OTG_LSPEED,Unknown,PIN_G6,2,B2_N0,,,,,
TDI,Unknown,PIN_B14,4,B4_N1,,,,,
TCS,Unknown,PIN_A14,4,B4_N1,,,,,
TCK,Unknown,PIN_D14,4,B4_N1,,,,,
TDO,Unknown,PIN_F14,4,B4_N1,,,,,
TD_RESET,Unknown,PIN_C4,3,B3_N1,,,,,
VGA_R[0],Unknown,PIN_C8,3,B3_N1,,,,,
VGA_R[1],Unknown,PIN_F10,3,B3_N1,,,,,
VGA_R[2],Unknown,PIN_G10,3,B3_N1,,,,,
VGA_R[3],Unknown,PIN_D9,3,B3_N1,,,,,
VGA_R[4],Unknown,PIN_C9,3,B3_N1,,,,,
VGA_R[5],Unknown,PIN_A8,3,B3_N0,,,,,
VGA_R[6],Unknown,PIN_H11,3,B3_N0,,,,,
VGA_R[7],Unknown,PIN_H12,3,B3_N0,,,,,
VGA_R[8],Unknown,PIN_F11,3,B3_N0,,,,,
VGA_R[9],Unknown,PIN_E10,3,B3_N0,,,,,
VGA_G[0],Unknown,PIN_B9,3,B3_N0,,,,,
VGA_G[1],Unknown,PIN_A9,3,B3_N0,,,,,
VGA_G[2],Unknown,PIN_C10,3,B3_N0,,,,,
VGA_G[3],Unknown,PIN_D10,3,B3_N0,,,,,
VGA_G[4],Unknown,PIN_B10,3,B3_N0,,,,,
VGA_G[5],Unknown,PIN_A10,3,B3_N0,,,,,
VGA_G[6],Unknown,PIN_G11,3,B3_N0,,,,,
VGA_G[7],Unknown,PIN_D11,3,B3_N0,,,,,
VGA_G[8],Unknown,PIN_E12,3,B3_N0,,,,,
VGA_G[9],Unknown,PIN_D12,3,B3_N0,,,,,
VGA_B[0],Unknown,PIN_J13,3,B3_N0,,,,,
VGA_B[1],Unknown,PIN_J14,3,B3_N0,,,,,
VGA_B[2],Unknown,PIN_F12,3,B3_N0,,,,,
VGA_B[3],Unknown,PIN_G12,3,B3_N0,,,,,
VGA_B[4],Unknown,PIN_J10,3,B3_N0,,,,,
VGA_B[5],Unknown,PIN_J11,3,B3_N0,,,,,
VGA_B[6],Unknown,PIN_C11,3,B3_N0,,,,,
VGA_B[7],Unknown,PIN_B11,3,B3_N0,,,,,
VGA_B[8],Unknown,PIN_C12,3,B3_N0,,,,,
VGA_B[9],Unknown,PIN_B12,3,B3_N0,,,,,
VGA_CLK,Unknown,PIN_B8,3,B3_N0,,,,,
VGA_BLANK,Unknown,PIN_D6,3,B3_N1,,,,,
VGA_HS,Unknown,PIN_A7,3,B3_N1,,,,,
VGA_VS,Unknown,PIN_D8,3,B3_N1,,,,,
VGA_SYNC,Unknown,PIN_B7,3,B3_N1,,,,,
I2C_SCLK,Unknown,PIN_A6,3,B3_N1,,,,,
I2C_SDAT,Unknown,PIN_B6,3,B3_N1,,,,,
TD_DATA[0],Unknown,PIN_J9,3,B3_N1,,,,,
TD_DATA[1],Unknown,PIN_E8,3,B3_N1,,,,,
TD_DATA[2],Unknown,PIN_H8,3,B3_N1,,,,,
TD_DATA[3],Unknown,PIN_H10,3,B3_N1,,,,,
TD_DATA[4],Unknown,PIN_G9,3,B3_N1,,,,,
TD_DATA[5],Unknown,PIN_F9,3,B3_N1,,,,,
TD_DATA[6],Unknown,PIN_D7,3,B3_N1,,,,,
TD_DATA[7],Unknown,PIN_C7,3,B3_N1,,,,,
TD_HS,Unknown,PIN_D5,3,B3_N1,,,,,
TD_VS,Unknown,PIN_K9,3,B3_N1,,,,,
AUD_ADCLRCK,Unknown,PIN_C5,3,B3_N1,,,,,
AUD_ADCDAT,Unknown,PIN_B5,3,B3_N1,,,,,
AUD_DACLRCK,Unknown,PIN_C6,3,B3_N1,,,,,
AUD_DACDAT,Unknown,PIN_A4,3,B3_N1,,,,,
AUD_XCK,Unknown,PIN_A5,3,B3_N1,,,,,
AUD_BCLK,Unknown,PIN_B4,3,B3_N1,,,,,
ENET_DATA[0],Unknown,PIN_D17,4,B4_N1,,,,,
ENET_DATA[1],Unknown,PIN_C17,4,B4_N1,,,,,
ENET_DATA[2],Unknown,PIN_B18,4,B4_N1,,,,,
ENET_DATA[3],Unknown,PIN_A18,4,B4_N1,,,,,
ENET_DATA[4],Unknown,PIN_B17,4,B4_N1,,,,,
ENET_DATA[5],Unknown,PIN_A17,4,B4_N1,,,,,
ENET_DATA[6],Unknown,PIN_B16,4,B4_N1,,,,,
ENET_DATA[7],Unknown,PIN_B15,4,B4_N1,,,,,
ENET_DATA[8],Unknown,PIN_B20,4,B4_N0,,,,,
ENET_DATA[9],Unknown,PIN_A20,4,B4_N0,,,,,
ENET_DATA[10],Unknown,PIN_C19,4,B4_N0,,,,,
ENET_DATA[11],Unknown,PIN_D19,4,B4_N0,,,,,
ENET_DATA[12],Unknown,PIN_B19,4,B4_N0,,,,,
ENET_DATA[13],Unknown,PIN_A19,4,B4_N0,,,,,
ENET_DATA[14],Unknown,PIN_E18,4,B4_N0,,,,,
ENET_DATA[15],Unknown,PIN_D18,4,B4_N0,,,,,
ENET_CLK,Unknown,PIN_B24,5,B5_N0,,,,,
ENET_CMD,Unknown,PIN_A21,4,B4_N0,,,,,
ENET_CS_N,Unknown,PIN_A23,4,B4_N0,,,,,
ENET_INT,Unknown,PIN_B21,4,B4_N0,,,,,
ENET_RD_N,Unknown,PIN_A22,4,B4_N0,,,,,
ENET_WR_N,Unknown,PIN_B22,4,B4_N0,,,,,
ENET_RST_N,Unknown,PIN_B23,4,B4_N0,,,,,
IRDA_TXD,Unknown,PIN_AE24,6,B6_N1,,,,,
IRDA_RXD,Unknown,PIN_AE25,6,B6_N1,,,,,
SD_DAT,Unknown,PIN_AD24,6,B6_N1,,,,,
SD_DAT3,Unknown,PIN_AC23,6,B6_N1,,,,,
SD_CMD,Unknown,PIN_Y21,6,B6_N1,,,,,
SD_CLK,Unknown,PIN_AD25,6,B6_N1,,,,,
FRAME_REQ,Unknown,PIN_J21,5,B5_N0,,,,,
LVDS_CLK(n),Input,PIN_P26,6,B6_N0,PIN_P26,LVDS,,,LVDS_CLK
OUT9(n),Input,PIN_U21,6,B6_N0,PIN_U21,LVDS,,,OUT9
OUTCTR(n),Input,PIN_U24,6,B6_N0,PIN_U24,LVDS,,,OUTCTR
OUT1(n),Input,PIN_T19,6,B6_N0,PIN_T19,LVDS,,,OUT1
